Name in documentation	Category	Qty	Full Name	Notes
150mm mini hacksaw	tool	1		
2mm Hex key	tool	1		
3d printer	machine	2		
clear plastic sheet	material	2		
Flexible Tube	material	1		
Laser cutter	machine	2		
M2x6 counter sunk screw	part	2		
M3 tap set	tool	1		
M3.5 Hex Nut	part	12		
M3.5x12mm Pozi Pan	part	12		
M3x8 counter sunk screw	part	4		
M3x8 socket cap screw	part	2		
maker beam XL	material	1		
PLA filament	material	Some		
Pozidriv PZ1 screw driver	tool	1		
Servo motor	part	1		
tap wrench	tool	1		
