trial,ITI,SD,NP,premature_responses (ms),correct_responses(ms),Mouse_food_latency (ms),incorrect responses (ms),wrong NP chosen,omissions,omission percentage,Accuracy,total (ms),total_task
1,5000,5000,4,0,1314,2501,0,0,0,0,100,12318,12318
2,5000,5000,1,0,0,0,1965,NP_2,0,0,50.0,16968,29328
3,5000,5000,3,0,1913,16503,0,0,0,0,66.66667,30921,60292
4,5000,5000,5,2736,0,0,0,,0,0,66.66667,12739,73069
5,5000,5000,4,0,0,0,0,,1,25.0,66.66667,22504,95614
6,5000,5000,5,0,0,0,0,,1,40.0,66.66667,21004,116654
7,5000,5000,5,0,1306,3500,0,0,0,33.33334,75.0,12311,129011
8,5000,5000,4,0,1644,8503,0,0,0,28.57143,80.0,17650,146700
9,5000,5000,3,0,1499,13503,0,0,0,25.0,83.33333,25005,171745
10,5000,5000,5,0,1511,3501,0,0,0,22.22222,85.71429,20016,191816
11,5000,5000,1,0,1781,3501,0,0,0,20.0,87.5,16785,208655
12,5000,5000,2,0,1946,3501,0,0,0,18.18182,88.88889,18951,227651
13,5000,8000,4,0,0,0,1214,NP_3,0,16.66667,80.0,19218,246918
